No	標準的な表記	読み	語彙の難易度	品詞1	品詞2(詳細)	語種
90	赤	アカ	1.初級前半	名詞	名詞-普通名詞-一般	和語
91	あか	アカ	5.上級前半	名詞	名詞-普通名詞-一般	和語
92	赤々	アカアカ	4.中級後半	副詞	副詞	和語
93	赤い	アカイ	1.初級前半	イ形容詞	形容詞-一般	和語
94	赤色	アカイロ	2.初級後半	名詞	名詞-普通名詞-一般	和語
95	あがく	アガク	6.上級後半	動詞1類	動詞-一般	和語
96	赤血球	アカケッキュウ	5.上級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	漢語
97	あかし	アカシ	6.上級後半	名詞	名詞-普通名詞-一般	和語
98	赤字	アカジ	4.中級後半	名詞	名詞-普通名詞-一般	混種語
99	赤十字	アカジュウジ	5.上級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	混種語
100	赤信号	アカシンゴウ	2.初級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	混種語
101	明かす	アカス	5.上級前半	動詞1類	動詞-一般	和語
102	赤ちゃん	アカチャン	2.初級後半	名詞	名詞-普通名詞-一般	和語
104	暁	アカツキ	6.上級後半	名詞	名詞-普通名詞-一般	和語
106	赤身	アカミ	5.上級前半	名詞	名詞-普通名詞-一般	和語
107	赤み	アカミ	5.上級前半	名詞	名詞-普通名詞-一般	和語
108	あからさま	アカラサマ	5.上級前半	ナ形容詞	形状詞-一般	和語
109	明かり	アカリ	3.中級前半	名詞	名詞-普通名詞-一般	和語
110	上がり	アガリ	4.中級後半	接尾辞	接尾辞-名詞的-一般	和語
111	上がり	アガリ	4.中級後半	名詞	名詞-普通名詞-一般	和語
112	上がり込む	アガリコム	5.上級前半	動詞1類	動詞-一般	和語
113	上がる	アガル	2.初級後半	動詞1類	動詞-一般	和語
114	挙がる	アガル	5.上級前半	動詞1類	動詞-一般	和語
115	明るい	アカルイ	1.初級前半	イ形容詞	形容詞-一般	和語
116	明るみ	アカルミ	5.上級前半	名詞	名詞-普通名詞-一般	和語
117	赤ん坊	アカンボウ	3.中級前半	名詞	名詞-普通名詞-一般	混種語
118	秋	アキ	1.初級前半	名詞	名詞-普通名詞-副詞可能	和語
119	空き缶	アキカン	3.中級前半	名詞	名詞-普通名詞-一般	混種語
120	空き巣	アキス	5.上級前半	名詞	名詞-普通名詞-一般	和語
121	空き地	アキチ	4.中級後半	名詞	名詞-普通名詞-一般	混種語
122	秋晴れ	アキバレ	5.上級前半	名詞	名詞-普通名詞-一般	和語
123	空き瓶	アキビン	4.中級後半	名詞	名詞-普通名詞-一般	混種語
124	秋祭り	アキマツリ	4.中級後半	名詞	名詞-普通名詞-一般	和語
125	明らか	アキラカ	4.中級後半	ナ形容詞	形状詞-一般	和語
126	あきらめ	アキラメ	4.中級後半	名詞	名詞-普通名詞-一般	和語
128	あきらめる	アキラメル	4.中級後半	動詞2類	動詞-一般	和語
129	飽きる	アキル	4.中級後半	動詞2類	動詞-一般	和語
130	あきれる	アキレル	4.中級後半	動詞2類	動詞-一般	和語
135	開く	アク	2.初級後半	動詞1類	動詞-一般	和語
131	悪	アク	4.中級後半	名詞	名詞-普通名詞-一般	漢語
133	空く	アク	4.中級後半	動詞1類	動詞-一般	和語
134	悪	アク	4.中級後半	接頭辞	接頭辞	漢語
136	明く	アク	4.中級後半	動詞1類	動詞-一般	和語
132	あく	アク	6.上級後半	名詞	名詞-普通名詞-一般	和語
137	悪意	アクイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
138	悪影響	アクエイキョウ	3.中級前半	名詞	接頭辞 and 名詞-普通名詞-サ変可能	漢語
139	悪事	アクジ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
140	悪質	アクシツ	4.中級後半	ナ形容詞	形状詞-一般	漢語
141	アクシデント	アクシデント	4.中級後半	名詞	名詞-普通名詞-一般	外来語
142	握手	アクシュ	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
143	悪臭	アクシュウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
144	悪循環	アクジュンカン	5.上級前半	名詞	接頭辞 and 名詞-普通名詞-サ変可能	漢語
145	アクション	アクション	4.中級後半	名詞	名詞-普通名詞-一般	外来語
146	悪性	アクセイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
147	あくせく	アクセク	6.上級後半	副詞	副詞	和語
148	アクセサリー	アクセサリー	3.中級前半	名詞	名詞-普通名詞-一般	外来語
149	アクセス	アクセス	4.中級後半	名詞	名詞-普通名詞-サ変可能	外来語
150	アクセル	アクセル	4.中級後半	名詞	名詞-普通名詞-一般	外来語
151	アクセント	アクセント	4.中級後半	名詞	名詞-普通名詞-一般	外来語
152	悪態	アクタイ	6.上級後半	名詞	名詞-普通名詞-一般	漢語
153	アクティブ	アクティブ	4.中級後半	ナ形容詞	形状詞-一般	外来語
154	悪党	アクトウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
155	悪徳	アクトク	6.上級後半	名詞	名詞-普通名詞-一般	漢語
156	悪人	アクニン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
20005	あくび	アクビ	5.上級前半	名詞	名詞-普通名詞-サ変可能	和語
157	悪魔	アクマ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
158	飽くまで	アクマデ	5.上級前半	副詞	副詞	和語
159	悪夢	アクム	4.中級後半	名詞	名詞-普通名詞-一般	漢語
160	悪名	アクメイ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
161	悪名高い	アクメイタカイ	6.上級後半	名詞	名詞-普通名詞-一般 and 形容詞-一般	混種語
162	悪役	アクヤク	4.中級後半	名詞	名詞-普通名詞-一般	漢語
163	悪友	アクユウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
164	悪用	アクヨウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
165	握力	アクリョク	5.上級前半	名詞	名詞-普通名詞-一般	漢語
166	アクリル	アクリル	6.上級後半	名詞	名詞-普通名詞-一般	外来語
167	明け	アケ	5.上級前半	接尾辞	名詞-普通名詞-一般	和語
169	揚げ	アゲ	4.中級後半	接尾辞・名詞	接尾辞-名詞的-一般	和語
170	揚げ	アゲ	4.中級後半	名詞	名詞-普通名詞-一般	和語
168	上げ	アゲ	5.上級前半	名詞	名詞-普通名詞-一般	和語
171	揚げ足	アゲアシ	6.上級後半	名詞	名詞-普通名詞-一般	和語
172	揚げ油	アゲアブラ	4.中級後半	名詞	名詞-普通名詞-一般	和語
173	上げ下ろし	アゲオロシ	4.中級後半	名詞	名詞-普通名詞-一般	和語
174	明け方	アケガタ	4.中級後半	名詞	名詞-普通名詞-副詞可能	和語
175	挙げ句	アゲク	5.上級前半	名詞	名詞-普通名詞-副詞可能	混種語
176	明け暮れる	アケクレル	5.上級前半	動詞2類	動詞-一般	和語
177	上げ下げ	アゲサゲ	4.中級後半	名詞	名詞-普通名詞-サ変可能	和語
178	曙	アケボノ	6.上級後半	名詞	名詞-普通名詞-一般	和語
180	開ける	アケル	1.初級前半	動詞2類	動詞-一般	和語
181	明ける	アケル	3.中級前半	動詞2類	動詞-一般	和語
182	空ける	アケル	3.中級前半	動詞2類	動詞-一般	和語
183	上げる	アゲル	2.初級後半	動詞2類	動詞-非自立可能	和語
184	挙げる	アゲル	3.中級前半	動詞2類	動詞-一般	和語
185	揚げる	アゲル	3.中級前半	動詞2類	動詞-一般	和語
186	あご	アゴ	3.中級前半	名詞	名詞-普通名詞-一般	和語
187	アコーディオン	アコーディオン	5.上級前半	名詞	名詞-普通名詞-一般	外来語
188	憧れ	アコガレ	4.中級後半	名詞	名詞-普通名詞-一般	和語
189	憧れる	アコガレル	4.中級後半	動詞2類	動詞-一般	和語
190	朝	アサ	1.初級前半	名詞	名詞-普通名詞-副詞可能	和語
191	麻	アサ	5.上級前半	名詞	名詞-普通名詞-一般	和語
194	あざ	アザ	5.上級前半	名詞	名詞-普通名詞-一般	和語
195	浅い	アサイ	3.中級前半	イ形容詞	形容詞-一般	和語
196	朝市	アサイチ	4.中級後半	名詞	名詞-普通名詞-一般	和語
197	朝顔	アサガオ	5.上級前半	名詞	名詞-普通名詞-一般	和語
198	朝方	アサガタ	4.中級後半	名詞	名詞-普通名詞-副詞可能	和語
200	朝御飯	アサゴハン	1.初級前半	名詞	名詞-普通名詞-副詞可能 and 名詞-普通名詞-一般	混種語
202	浅漬け	アサヅケ	5.上級前半	名詞	名詞-普通名詞-一般	和語
203	あさって	アサッテ	1.初級前半	名詞	名詞-普通名詞-副詞可能	和語
204	朝寝坊	アサネボウ	3.中級前半	名詞	名詞-普通名詞-副詞可能 and 名詞-普通名詞-形状詞可能	混種語
205	浅はか	アサハカ	6.上級後半	ナ形容詞	形状詞-一般	和語
206	朝晩	アサバン	3.中級前半	名詞	名詞-普通名詞-副詞可能	混種語
207	朝日	アサヒ	3.中級前半	名詞	名詞-普通名詞-一般	和語
208	欺く	アザムク	6.上級後半	動詞1類	動詞-一般	和語
209	鮮やか	アザヤカ	4.中級後半	ナ形容詞	形状詞-一般	和語
210	朝夕	アサユウ	3.中級前半	名詞	名詞-普通名詞-一般	和語
212	あさり	アサリ	5.上級前半	名詞	名詞-普通名詞-一般	和語
211	歯振	アサリ	6.上級後半	名詞	名詞-普通名詞-一般	和語
213	あさる	アサル	6.上級後半	動詞1類	動詞-一般	和語
214	足	アシ	1.初級前半	接尾辞	名詞-普通名詞-一般	和語
215	脚	アシ	3.中級前半	名詞	名詞-普通名詞-一般	和語
216	味	アジ	2.初級後半	名詞	名詞-普通名詞-一般	和語
217	あじ	アジ	4.中級後半	名詞	名詞-普通名詞-一般	和語
219	アジア	アジア	2.初級後半	名詞	名詞-固有名詞-地名-一般	外来語
220	足跡	アシアト	4.中級後半	名詞	名詞-普通名詞-一般	和語
221	足音	アシオト	3.中級前半	名詞	名詞-普通名詞-一般	和語
222	足掛かり	アシガカリ	6.上級後半	名詞	名詞-普通名詞-一般	和語
223	味気無い	アジキナイ	6.上級後半	イ形容詞	形容詞-一般	混種語
224	足首	アシクビ	3.中級前半	名詞	名詞-普通名詞-一般	和語
225	足腰	アシコシ	4.中級後半	名詞	名詞-普通名詞-一般	和語
226	アシスタント	アシスタント	4.中級後半	名詞	名詞-普通名詞-一般	外来語
227	アシスト	アシスト	4.中級後半	名詞	名詞-普通名詞-サ変可能	外来語
228	明日	アシタ	1.初級前半	名詞	名詞-普通名詞-副詞可能	和語
230	味付け	アジツケ	4.中級後半	名詞	名詞-普通名詞-サ変可能	和語
231	足取り	アシドリ	4.中級後半	名詞	名詞-普通名詞-一般	和語
233	足場	アシバ	5.上級前半	名詞	名詞-普通名詞-一般	和語
234	足踏み	アシブミ	4.中級後半	名詞	名詞-普通名詞-サ変可能	和語
235	味見	アジミ	3.中級前半	名詞	名詞-普通名詞-サ変可能	和語
236	足元	アシモト	4.中級後半	名詞	名詞-普通名詞-一般	和語
237	あしらう	アシラウ	6.上級後半	動詞1類	動詞-一般	和語
238	味わい	アジワイ	5.上級前半	名詞	名詞-普通名詞-一般	和語
239	味わう	アジワウ	4.中級後半	動詞1類	動詞-一般	和語
240	明日	アス	3.中級前半	名詞	名詞-普通名詞-副詞可能	和語
241	預かる	アズカル	3.中級前半	動詞1類	動詞-一般	和語
242	小豆	アズキ	5.上級前半	名詞	名詞-普通名詞-一般	和語
243	預ける	アズケル	3.中級前半	動詞2類	動詞-一般	和語
244	あずさ	アズサ	6.上級後半	名詞	名詞-普通名詞-一般	和語
245	アスパラガス	アスパラガス	4.中級後半	名詞	名詞-普通名詞-一般	外来語
246	汗	アセ	3.中級前半	名詞	名詞-普通名詞-一般	和語
247	焦り	アセリ	5.上級前半	名詞	名詞-普通名詞-一般	和語
248	焦る	アセル	5.上級前半	動詞1類	動詞-一般	和語
249	あせる	アセル	6.上級後半	動詞2類	動詞-一般	和語
250	あぜん	アゼン	6.上級後半	副詞	形状詞-タリ	漢語
251	あそこ	アソコ	1.初級前半	代名詞	代名詞	和語
252	遊び	アソビ	2.初級後半	名詞	名詞-普通名詞-一般	和語
253	遊ぶ	アソブ	1.初級前半	動詞1類	動詞-一般	和語
254	あだ	アダ	6.上級後半	名詞	名詞-普通名詞-一般	和語
255	値	アタイ	4.中級後半	名詞	名詞-普通名詞-サ変可能	和語
20006	値する	アタイスル	6.上級後半	動詞3類	名詞-普通名詞-サ変可能 and 動詞-非自立可能	和語
256	与える	アタエル	4.中級後半	動詞2類	動詞-一般	和語
257	あたかも	アタカモ	6.上級後半	副詞	副詞	和語
258	温か	アタタカ	4.中級後半	ナ形容詞	形状詞-一般	和語
259	暖かい	アタタカイ	1.初級前半	イ形容詞	形容詞-一般	和語
260	温かい	アタタカイ	1.初級前半	イ形容詞	形容詞-一般	和語
261	温かみ	アタタカミ	4.中級後半	名詞	名詞-普通名詞-一般	和語
262	温まる	アタタマル	3.中級前半	動詞1類	動詞-一般	和語
263	温める	アタタメル	3.中級前半	動詞2類	動詞-一般	和語
264	アタック	アタック	4.中級後半	名詞	名詞-普通名詞-サ変可能	外来語
265	あたふた	アタフタ	5.上級前半	動詞3類	副詞	和語
266	アダプター	アダプター	4.中級後半	名詞	名詞-普通名詞-一般	外来語
267	頭	アタマ	1.初級前半	名詞	名詞-普通名詞-一般	和語
268	頭から	アタマカラ	5.上級前半	名詞	名詞-普通名詞-一般 and 助詞-格助詞	和語
269	頭金	アタマキン	4.中級後半	名詞	名詞-普通名詞-一般	混種語
272	新しい	アタラシイ	1.初級前半	イ形容詞	形容詞-一般	和語
273	辺り	アタリ	2.初級後半	名詞	名詞-普通名詞-副詞可能	和語
274	当たり	アタリ	3.中級前半	名詞	接尾辞-名詞的-副詞可能	和語
275	当たり	アタリ	3.中級前半	名詞	名詞-普通名詞-一般	和語
276	当たり障り	アタリサワリ	5.上級前半	名詞	名詞-普通名詞-一般	和語
277	当たり前	アタリマエ	3.中級前半	名詞	形状詞-一般	和語
278	当たる	アタル	3.中級前半	動詞1類	動詞-一般	和語
279	アダルト	アダルト	4.中級後半	名詞	名詞-普通名詞-形状詞可能	外来語
281	あちら	アチラ	2.初級後半	名詞	代名詞	和語
283	あちこち	アチラコチラ	3.中級前半	名詞	代名詞	和語
284	あっ	アッ	2.初級後半	感動詞	感動詞-一般	和語
285	圧	アツ	6.上級後半	接尾辞	接尾辞-名詞的-一般	漢語
286	厚揚げ	アツアゲ	4.中級後半	名詞	名詞-普通名詞-一般	和語
287	熱々	アツアツ	4.中級後半	名詞	名詞-普通名詞-一般	和語
288	暑い	アツイ	1.初級前半	イ形容詞	形容詞-一般	和語
289	熱い	アツイ	1.初級前半	イ形容詞	形容詞-一般	和語
290	厚い	アツイ	1.初級前半	イ形容詞	形容詞-一般	和語
291	悪化	アッカ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
292	扱い	アツカイ	5.上級前半	名詞	名詞-普通名詞-一般	和語
293	扱う	アツカウ	4.中級後半	動詞1類	動詞-一般	和語
294	厚かましい	アツカマシイ	4.中級後半	イ形容詞	形容詞-一般	和語
295	厚紙	アツガミ	6.上級後半	名詞	名詞-普通名詞-一般	和語
296	熱苦しい	アツクルシイ	5.上級前半	イ形容詞	形容詞-一般	和語
20007	あっけない	アッケナイ	6.上級後半	イ形容詞	形容詞-一般	和語
297	あっさり	アッサリ	4.中級後半	動詞3類	副詞	和語
298	圧縮	アッシュク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
299	圧勝	アッショウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
300	あっせん	アッセン	6.上級後半	名詞	名詞-普通名詞-サ変可能	漢語
301	厚手	アツデ	4.中級後半	名詞	名詞-普通名詞-一般	和語
302	圧倒	アットウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
303	圧倒的	アットウテキ	4.中級後半	ナ形容詞	名詞-普通名詞-サ変可能 and 接尾辞-形状詞的	漢語
304	圧迫	アッパク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
305	アップ	アップ	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
306	アップリケ	アップリケ	6.上級後半	名詞	名詞-普通名詞-サ変可能	外来語
307	アップル	アップル	3.中級前半	名詞	名詞-普通名詞-一般	外来語
308	アップルパイ	アップルパイ	3.中級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	外来語
309	集まり	アツマリ	3.中級前半	名詞	名詞-普通名詞-一般	和語
310	集まる	アツマル	2.初級後半	動詞1類	動詞-一般	和語
311	厚み	アツミ	4.中級後半	名詞	名詞-普通名詞-一般	和語
312	集める	アツメル	3.中級前半	動詞2類	動詞-一般	和語
313	圧力	アツリョク	4.中級後半	名詞	名詞-普通名詞-一般	漢語
314	圧力鍋	アツリョクナベ	5.上級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	混種語
315	宛て	アテ	4.中級後半	接尾辞	接尾辞-名詞的-一般	和語
316	当て	アテ	5.上級前半	名詞	名詞-普通名詞-一般	和語
317	宛て先	アテサキ	4.中級後半	名詞	名詞-普通名詞-一般	和語
20008	当て字	アテジ	6.上級後半	名詞	名詞-普通名詞-一般	混種語
20009	あて名	アテナ	5.上級前半	名詞	名詞-普通名詞-一般	和語
318	当て逃げ	アテニゲ	5.上級前半	名詞	名詞-普通名詞-サ変可能	和語
20010	当てはまる	アテハマル	5.上級前半	動詞1類	動詞-一般	和語
319	当てる	アテル	3.中級前半	動詞2類	動詞-一般	和語
320	後	アト	1.初級前半	名詞	名詞-普通名詞-副詞可能	和語
321	跡	アト	4.中級後半	名詞	名詞-普通名詞-一般	和語
323	後味	アトアジ	4.中級後半	名詞	名詞-普通名詞-一般	和語
324	後々	アトアト	5.上級前半	名詞	名詞-普通名詞-副詞可能	和語
325	後片付け	アトカタヅケ	4.中級後半	名詞	名詞-普通名詞-副詞可能 and 名詞-普通名詞-一般	和語
326	後先	アトサキ	5.上級前半	名詞	名詞-普通名詞-一般	和語
327	後始末	アトシマツ	4.中級後半	名詞	名詞-普通名詞-副詞可能 and 名詞-普通名詞-サ変可能	混種語
20011	跡継ぎ	アトツギ	6.上級後半	名詞	名詞-普通名詞-一般	和語
328	跡取り	アトトリ	6.上級後半	名詞	名詞-普通名詞-一般	和語
329	アドバイザー	アドバイザー	4.中級後半	名詞	名詞-普通名詞-一般	外来語
330	アドバイス	アドバイス	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
331	アドベンチャー	アドベンチャー	4.中級後半	名詞	名詞-普通名詞-一般	外来語
332	後回し	アトマワシ	4.中級後半	名詞	名詞-普通名詞-一般	和語
333	アトラクション	アトラクション	4.中級後半	名詞	名詞-普通名詞-一般	外来語
334	アドレス	アドレス	3.中級前半	名詞	名詞-普通名詞-一般	外来語
335	穴	アナ	4.中級後半	名詞	名詞-普通名詞-一般	和語
336	穴埋め	アナウメ	5.上級前半	名詞	名詞-普通名詞-サ変可能	和語
20012	アナウンサー	アナウンサ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
337	アナウンサー	アナウンサー	3.中級前半	名詞	名詞-普通名詞-一般	外来語
338	アナウンス	アナウンス	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
339	あながち	アナガチ	6.上級後半	副詞	副詞	和語
340	あなた	アナタ	1.初級前半	代名詞	代名詞	和語
342	穴場	アナバ	5.上級前半	名詞	名詞-普通名詞-一般	和語
343	アナログ	アナログ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
344	兄	アニ	1.初級前半	名詞	名詞-普通名詞-一般	和語
345	兄貴	アニキ	5.上級前半	名詞	名詞-普通名詞-一般	混種語
347	兄弟子	アニデシ	6.上級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	混種語
348	アニマル	アニマル	4.中級後半	名詞	名詞-普通名詞-一般	外来語
349	アニメ	アニメ	2.初級後半	名詞	名詞-普通名詞-一般	外来語
350	アニメーション	アニメーション	2.初級後半	名詞	名詞-普通名詞-一般	外来語
351	姉	アネ	1.初級前半	名詞	名詞-普通名詞-一般	和語
353	亜熱帯	アネッタイ	5.上級前半	名詞	接頭辞 and 名詞-普通名詞-一般	漢語
355	あの	アノ	2.初級後半	連体詞	感動詞-フィラー	和語
358	アパート	アパート	1.初級前半	名詞	名詞-普通名詞-一般	外来語
359	暴く	アバク	6.上級後半	動詞1類	動詞-一般	和語
360	暴れる	アバレル	4.中級後半	動詞2類	動詞-一般	和語
361	アパレル	アパレル	5.上級前半	名詞	名詞-普通名詞-一般	外来語
362	アピール	アピール	4.中級後半	名詞	名詞-普通名詞-サ変可能	外来語
363	浴びせる	アビセル	5.上級前半	動詞2類	動詞-一般	和語
364	あひる	アヒル	3.中級前半	名詞	名詞-普通名詞-一般	和語
365	浴びる	アビル	2.初級後半	動詞2類	動詞-一般	和語
366	アフガニスタン	アフガニスタン	3.中級前半	名詞	名詞-固有名詞-地名-国	外来語
367	アフター	アフター	4.中級後半	名詞	名詞-普通名詞-一般	外来語
368	アフターサービス	アフターサービス	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能	外来語
