,original,generated,plainness1,synonymity1,grammaticality1,plainness2,synonymity2,grammaticality2
4572,少年がとぶのを見てごらん。,少年が飛ぶのを見てみて。,3,3,3,3,3,3
1173,私といっしょに来なさい。,私と一緒に来なさい。,2,3,3,2,3,3
716,娘は来年成年に達します。,娘は次の年２０歳に達します。,3,3,3,3,3,3
1876,だれがドアを開けっ放しにしたのだ。,誰がドアを開けたままにしたのだ。,3,3,3,3,3,3
1154,御家族はいかがお過ごしですか。,御家族はどのようにお過ごしですか。,3,3,3,3,3,3
3284,彼はそんなことを言うほど愚かではなかった。,彼はそんなことを言うほど馬鹿ではなかった。,3,3,3,3,3,3
3868,この町は、暮らしにくい。,この町は、生活が難しい。,3,2,3,3,3,3
2082,あなたたちは老人を軽蔑してはいけない。,あなたたちは老人を馬鹿にしてはならない。,3,3,3,3,2,3
4551,私はあなたの意見に異議はない。,私はあなたの意見に反対の意見はない。,3,3,2,3,3,3
2943,躊躇すれば機会は二度とこない。,動くことを止めるすれば機会は２度とこない。,3,2,1,2,2,1
828,彼はこれ以上待てないかもしれない。,彼はこれ以上待つことができないかもしれない。,2,3,3,2,3,3
2574,野球の試合は激しい雨のために中止となった。,野球の試合は激しい雨のために次の機会になった。,2,2,3,3,3,3
2411,上司は私たちの提案を拒否した。,彼の上の役割の人は私たちの提案を実際には使わなかった。,2,2,3,2,2,3
85,父がくれた時計をなくした。,父がくれた時計がどこにあるかわからなくなった。,2,2,3,2,3,3
1024,君の知ったことか。,あなたの知ったことか。,2,3,3,2,3,3
4987,彼は帰宅するとすぐに彼女に電話した。,彼は家に帰るとすぐに彼女に電話した。,2,3,3,3,3,3
3787,私はそれを徹底的に調べた。,私はそれを頑張って調べた。,2,2,3,3,2,3
795,お年寄りには親切にしなければなりません。,年をとった方には親切にしなければなりません。,2,3,3,3,3,3
346,私は彼が泳ぎわたるのを見ました。,私は彼が泳ぐのを見ました。,3,2,3,3,2,3
3960,３カ国語を話すのは困難だ。,３つの国の言語を話すのは難しい。,3,3,3,3,3,3
2671,その当時はラジオと言うものが無かった。,その時はラジオと言うものが無かった。,2,3,3,2,3,3
1110,永遠にあなたと一緒にいます。,ずっとあなたと一緒にいます。,2,3,3,3,3,3
4427,これらの単語を辞書で調べなさい。,これらの言葉を辞書で調べなさい。,2,3,3,2,3,3
478,私に関する限り、彼をまったく信用していない。,私に関する限り、彼を全く信頼していない。,2,3,3,2,3,3
4420,彼は五時にここへくるはずである。,彼は５時にここへくるはずだ。,2,3,3,2,3,3
254,花は切られるとすぐにしぼむ。,花は切られるとすぐに小さくなる。,3,2,2,2,3,3
2955,彼女は授業を欠席した。,彼女は授業を休んだ。,3,3,3,3,3,3
3433,学生は当然必死に勉強するはずだ。,学生は当然頑張って勉強するはずだ。,3,3,3,3,3,3
1508,彼らは、レコードを買います。,彼らは、音楽が記録されたものを買います。,2,2,3,3,2,3
1353,子供が夜１人で外出するのは危険だ。,子供が夜一人で外に出るのは危険だ。,3,3,3,3,3,3
3789,今日はたいそう冷えますね。,今日はとても冷たくなっていますね。,3,2,3,3,2,3
456,その学校の児童はみんなその新しい先生になついた。,その学校の子供はみんなその新しい先生に会った。,2,1,3,3,1,3
3396,このブラウスは好きですか。,この服は好きですか。,2,2,3,3,2,3
4299,彼女は交通渋滞のために遅れた。,彼女は道路が混んでいたために遅れた。,3,3,3,3,3,3
887,私は彼の過失を許した。,私は彼の失敗を許した。,3,3,3,3,3,3
3879,静かにしている限り、ここに居てもよろしい。,静かにしている限り、ここに居てもいいです。,2,3,3,3,3,3
4960,俺は自由な男。,私は自由な男。,2,3,3,2,3,3
2922,恐ろしく今日は寒い。,とても今日は寒い。,3,3,3,3,3,3
2188,パーティーに招待してくれてありがとう。,パーティーに呼んでありがとう。,3,1,3,3,2,1
1866,種子は夏になると花になる。,植物は夏になると花になる。,2,2,3,3,2,3
3054,私は時々故郷の夢を見る。,私は時々生まれた場所の夢を見る。,3,3,3,3,2,3
0,彼らは凍死した。,彼らは寒くて死んだ。,3,3,3,3,3,2
1336,せきが出ます。,力が出ます。,2,1,3,2,1,2
2905,ここにサインしてください。,ここに名前を書いてください。,2,3,3,3,2,3
2852,昔は長電話して、よく怒られたものだ。,昔は長い電話して、よく怒られたものだ。,2,3,3,3,3,2
1319,その女性はメモを取っている。,その女性は記録を取っている。,2,3,3,2,3,3
1369,友人は私の意見に反対だ。,友達は私の意見に反対だ。,2,3,3,2,3,3
2495,去年の夏私はいつも午前中散歩をしていた。,昨年の夏私はいつも午前中散歩をしていた。,2,3,3,2,3,3
2178,君は自分の部屋を持っていますか。,あなたは自分の部屋を持っていますか。,2,3,3,2,3,3
2527,早起きは彼の習慣だった。,早く起きることは彼の習慣だった。,3,3,3,2,3,3
1119,この家は私の名前で登記してある。,この家は私の名前で個人の権利を公開してある。,3,3,3,2,2,3
4351,彼は上着を脱いだ。,彼は服を脱いだ。,2,2,3,3,2,3
3435,彼は他のどの学生にも劣らず熱心に勉強する。,彼は他のどの学生にも負けず頑張って勉強する。,3,3,3,3,3,3
3341,あなたの家を探すのにまったく困難はなかった。,あなたの家を探すのに全く難しいことはなかった。,3,3,2,3,3,3
3418,私たちは川にそって歩いた。,私たちは川に従って歩いた。,2,2,1,3,1,2
265,三日前、旧友にひょっこり会った。,３日前、昔の友達に会った。,3,2,3,2,3,3
3473,あなたはその事実を考慮に入れなければならない。,あなたはその事実を考えに入れなければならない。,3,3,2,3,3,3
537,彼は私を危険から救ってくれた。,彼は私を危険から助けてくれた。,2,3,2,3,3,3
749,ハイウエイで事故が起きた。,外で事故が起きた。,2,1,3,2,2,3
1083,バッグはどこに置けばいいんですか。,はどこに置けばいいんですか。,2,1,1,2,1,1
482,彼は決してわたしの助けをかりない。,彼は決して私を助けない。,2,1,3,2,1,3
2851,重くて私にはもてない。,重くて私には食べることができない。,2,1,2,2,1,3
2679,君はなにで目を覚ましましたか。,あなたはなにで起きたことを思いましたか。,2,1,2,2,1,1
1600,その日たまたま彼は外出していた。,その日意識せず彼は外に出ていた。,1,1,2,2,2,1
2138,彼は通りで私に会うといつも話しかける。,彼は通りで私に会うといつも話してくる。,2,3,3,2,3,3
1473,私の仕事はその赤ん坊の世話をすることです。,私の仕事はその赤ちゃんの世話をすることです。,2,3,3,2,3,3
2468,君はここで待たないほうがよい。,あなたはここで待たない方がよい。,2,3,3,2,3,3
1213,私はこの前と同じ誤りをしてしまった。,私はこの前と同じ間違いをしてしまった。,3,3,3,3,3,3
3132,君は何をするつもりなの。,あなたは何をするつもりなの。,2,3,3,2,3,3
3129,君の約束を当てにしている。,あなたの約束を信頼している。,3,3,3,2,2,3
3899,彼は決して友達を裏切るような人ではない。,彼は決して友達に嘘を言うような人ではない。,2,1,3,3,2,3
3669,この机はあの机と同じくらい上等です。,この机はあの机と同じくらいよい物です。,3,3,3,3,3,3
696,テレビには飽きたよ。,テレビにはずっと続けて嫌な時間だったよ。,2,1,2,3,2,1
1160,しばらくの間、まつのはかまわない。,しばらくの間、人が困ることはない。,2,1,2,2,1,3
577,展示会を見てきました。,物を見せる会を見てきました。,2,2,2,3,2,3
4053,日本語を話せる人はいますか。,日本語を話すことができる人はいますか。,3,3,3,2,3,3
46,君はただ彼が来るのを待ちさえすればよい。,あなたはただ彼が来るのを待ちさえすればよい。,2,3,3,2,3,3
3610,彼は金使いが荒い。,彼はお金を使いやすい。,3,2,2,2,2,2
1465,食べ物はたっぷりある。,食べる物はたくさんある。,3,3,3,3,3,3
1381,彼女は休暇中です。,彼女は休み中です。,3,3,3,3,3,3
3947,大雨になるらしいよ。,すごい雨になるらしいよ。,3,3,3,3,3,3
2048,君は手紙を書いていますか。,あなたは手紙を書いていますか。,2,3,3,2,3,3
1268,ひより見をする。,下を見る。,2,1,3,3,1,3
4930,わざわざ会いに来てくれてありがとう。,無理して会いに来てくれてありがとう。,3,3,3,2,2,3
404,どんな規則にも例外がある。,どんな規則にも対象外がある。,2,2,3,2,3,3
2077,そのニュースはわれわれを大いに驚かせた。,そのニュースは私たちをとても驚かせた。,3,3,3,3,3,3
545,私はあのデパートで買い物するのが好きだ。,私はあの大きな店で買い物するのが好きだ。,2,2,3,2,3,3
29,君は僕の邪魔をしている。,あなたは僕の邪魔をしている。,2,3,3,2,3,3
2104,東京に行くのに何が一番便利に行けますか。,東京に行くのに何が一番いい状態になりますか。,2,2,2,2,1,2
3958,決してカンニングをしてはいけません。,決して叩いてはならない。,2,1,3,2,1,3
1904,君が何と言おうと、私はあきらめない。,あなたが何と言おうと、私はやめない。,2,2,3,2,2,3
2559,彼はフランス語を上手に話せる。,彼はフランス語をうまく話すことができる。,3,3,3,2,3,3
3729,以前ここに教会がありました。,前ここに神の話を教える場所がありました。,2,2,3,3,2,3
2137,君のやったことは規則に反しているよ。,あなたのやったことは規則に反対しているよ。,2,2,2,2,3,3
1195,右手に海が見えます。,右の方に海が見えます。,3,3,3,2,3,3
3519,彼らの名前が思い出せなかった。,彼らの名前を覚えていなかった。,2,2,3,2,3,3
258,どこの会社にお勤めですか。,どこの会社に入っていますか。,3,3,3,2,2,3
1923,ここで日なたに座っているが、まだ寒い。,ここで日の当たる場所に座っているが、まだ寒い。,3,3,3,3,3,3
875,その国に革命が起こった。,その国に世界に知られたことが起こった。,2,2,3,2,2,3
1718,背筋を伸ばしなさい。,背の横をを長くしろ。,2,1,3,3,1,1
920,多くの人と知り合うことがパーティーの重要な部分だ。,多くの人と知ることがパーティーの重要な部分だ。,2,2,3,3,2,1
1774,彼の成功を確信している。,彼の成功を確かだと思っている。,2,2,2,2,3,2
367,私は、成功するために、一生懸命働いた。,私は、成功するために、頑張って働いた。,3,3,3,3,3,3
4455,彼は海外旅行が好きです。,彼は外国旅行が好きです。,2,3,3,2,3,3
4495,君はこの車を使ってもいい。,あなたはこの車を使ってもいい。,2,3,3,2,3,3
406,生徒たちは皆彼を尊敬している。,学生たちはみんな彼を尊敬している。,2,3,3,2,3,3
3252,君は日本人の学生ですか。,あなたは日本人の学生ですか。,2,3,3,2,3,3
453,この報告書には誤りがない。,この報告書には間違いがない。,3,3,3,3,3,3
2497,ここの気候は私には合わない。,ここの天気は私には合わない。,2,3,3,3,3,3
3066,彼女は外出するための帽子をかぶりました。,彼女は外に出るための帽子を身につけました。,3,3,3,3,3,3
1228,外に出るや否や雨が降ってきた。,外に出るとすぐに雨が降ってきた。,3,3,3,3,3,3
2464,あそこのウィンドウの中にあるのを見せて下さい。,あの窓の中にあるのを見せてください。,2,3,3,2,2,3
1323,ワインをもう一本ください。,酒をもう１本ください。,2,2,3,2,2,3
109,彼は妻と仲良く暮らしている。,彼は妻と仲をよくしている。,2,2,2,2,3,2
4727,大変評判になっている。,大変良い評価になっている。,3,3,3,3,3,3
3064,やがて事件の真相がわかるころだ。,やがて事件の本当のことがわかる頃だ。,3,3,3,3,3,3
2494,君は馬鹿に違いない。,あなたは馬鹿に違いない。,2,3,3,2,3,3
1156,私達は互いに依存しあっている。,私たちは互いにお金をもらっている。,2,1,3,3,1,2
4591,私は一生懸命勉強している。,私は頑張って勉強している。,3,3,3,3,3,3
1497,金の持ち合わせがない。,お金を持っていない。,3,2,3,3,3,3
3744,交際を続けましょう。,一緒にいることを続けましょう。,3,2,2,3,2,3
4814,何か温かい飲み物がほしい。,何かあたたかい飲む物が欲しい。,2,2,3,2,3,2
2977,泥棒は警官を見ると逃げ出した。,泥棒は警察官を見ると離れていった。,3,2,3,2,3,3
481,彼はとてもできる生徒だ。,彼はとてもできる学生だ。,2,3,3,2,3,3
4889,喜んでそういたしましょう。,喜んでそうしましょう。,3,3,3,3,3,3
388,今朝ひょっこり旧友に会った。,今朝、とても昔の友達に会った。,3,1,3,3,2,3
3863,私はワインが好きでない。,私はぶどうのお酒が好きでない。,3,2,3,3,2,3
3323,彼女のみに何が降りかかるなど誰に分かろう。,彼女のみに何が降りかかるなど誰に帰ろう。,2,1,1,2,1,1
2512,この点で君に同意できない。,この点であなたに賛成できない。,3,3,3,2,3,3
986,まだ決断はついてなかった。,まだ判断はついてなかった。,2,2,3,2,2,3
3559,わたしの書斎のどの本でも好きにお使いください。,私の研究をする部屋のどの本でも好きにお使いください。,3,2,2,3,2,3
1516,私は途中ずっと先生といっしょだった。,私は途中ずっと先生と一緒にいた。,3,3,3,2,3,3
3447,彼女は毎朝１時間の散歩をする。,彼女は毎日朝１時間歩く。,3,3,3,3,3,3
710,通学するのはほとんど不可能だ。,学校に行くのはほとんど不可能だ。,3,3,3,3,2,3
3295,電車は時間どおりに着いた。,列車は時間通りに着いた。,2,3,3,2,3,3
948,先生はわれわれの答案調べに忙しい。,先生は私たちの答えを書くことに忙しい。,2,1,3,3,1,3
52,そのことを決めるのは君の役目だ。,そのことを決めるのはあなたの役割だ。,2,3,3,2,3,3
3677,ぼくはきっとジムがその話をでっち上げたのだと思う。,私はきっとジムがその話を本当であるかのように思う。,2,1,3,3,1,1
4989,彼らは以前私たちの隣に住んでいた。,彼らは前私たちの近くに住んでいた。,2,2,3,3,3,3
934,その秘密は直ぐにもれるだろう。,その秘密は後で息子に会うことができるだろう。,2,1,1,3,1,1
3557,彼がそんなことをすればしかられても当然です。,彼がそんなことをすれば怒られても当然です。,3,3,3,2,3,3
25,私は休暇の大部分を叔父の家で過ごした。,私は休みの大部分をおじの家で過ごした。,3,3,3,3,3,3
4858,私は早起きするのになれている。,私は早く起きるのに慣れている。,3,3,3,2,3,3
3580,他人の陰口をきいてはいけません。,他の人のいないところではダメです。,2,1,3,3,2,2
1544,白いゆりは見た目がとてもきれいだ。,白い花は見た目がとてもきれいだ。,2,2,3,2,2,3
2603,英語を学ぶ最良の方法は何ですか。,英語を学ぶ最もよい方法は何ですか。,3,3,3,3,3,3
3297,君に替わる人はどこにもいない。,あなたに変わっている人はどこにもいない。,2,1,1,2,1,1
2472,私はこの辞書なしで済ますことはできない。,私はこの辞書なしで終わらせることはできない。,3,3,3,3,2,3
1830,危険、立入り禁止！,危険、入っていないこと認められない！,2,2,1,2,1,1
3668,我々は君からの便りを待っています。,私たちはあなたからの手紙を待っています。,2,2,3,3,3,3
2795,ぼくはこれは本気で言っているんです。,私はこれは本当の気持ちで言っているんです。,3,3,3,2,3,3
4869,彼女は独りでここにとどまった。,彼女は一人でここにずっといる。,2,1,3,3,3,3
1058,彼女は簡単にその仕事終えた。,彼女は簡単にその仕事終わった。,2,2,2,2,2,1
3047,長い間待たして申し訳ありません。,長い間待たせてすみません。,3,3,3,2,3,3
